userName;content;score;at;sentimen;hasil_prediksi;kategori;sentimen_kategori
Azril Kusumawardhana;diskonnya pake aturan;50;31/12/2020 04:15;puas;tidak puas;lainnya;lainnya
Shane Alexis Rendon;good;40;31/12/2020 04:15;puas;puas;lainnya;lainnya
Xiao P;love it;50;31/12/2020 04:02;puas;puas;lainnya;lainnya
zha;mantafffff;50;31/12/2020 04:00;puas;puas;lainnya;lainnya
Tengku Febrianti Maulidya;great app;50;31/12/2020 03:50;puas;puas;sistem aplikasi;sistem aplikasi
Ugeta Sekar;convenient is at the tip of your finger;50;31/12/2020 03:34;puas;netral;lainnya;driver
Nani;fast delivery today;50;31/12/2020 03:31;puas;puas;lainnya;lainnya
ria restudian;best of the best;50;31/12/2020 03:27;puas;puas;lainnya;lainnya
Bernito Venalon Jr;good;50;31/12/2020 03:26;puas;puas;lainnya;lainnya
Poer djianto;amazing;50;31/12/2020 03:26;puas;puas;lainnya;lainnya
sasi kumar;very good service;50;31/12/2020 03:02;puas;puas;lainnya;lainnya
ame ash;good apps for multi-purpose use. easy.;50;31/12/2020 02:58;puas;puas;sistem aplikasi;sistem aplikasi
Choon Sim Hong;it's a very convenient way of transport and food delivery was prompt too;50;31/12/2020 02:21;puas;puas;lainnya;lainnya
flash light;good;50;31/12/2020 02:13;puas;puas;lainnya;lainnya
Ain Nadira;sangat membantu;50;31/12/2020 02:06;puas;puas;lainnya;lainnya
Mcey Oriz;very powerful application;50;31/12/2020 01:37;puas;puas;sistem aplikasi;sistem aplikasi
Syira Jalil;the best apps ever;50;31/12/2020 01:22;puas;puas;sistem aplikasi;sistem aplikasi
baha muhd;good service;50;31/12/2020 01:19;puas;puas;lainnya;lainnya
Ainest Ronda;so good;50;31/12/2020 01:13;puas;puas;lainnya;lainnya
Amandeep Singh Bagry;good;30;31/12/2020 01:09;netral;puas;lainnya;lainnya
khairy kahar;good;50;31/12/2020 00:12;puas;puas;lainnya;lainnya
Mesah Roni Ginting;good;50;30/12/2020 21:57;puas;puas;lainnya;lainnya
Nikko Ammaqui;i can book a car and i cant see the car photo off the app;10;30/12/2020 21:00;tidak puas;netral;sistem aplikasi;sistem aplikasi
Tynne Ahmad;grab is awesome . fast service . grab rider also kind n smile always . ilove grab 👍highly recommended;50;30/12/2020 19:18;puas;puas;lainnya;lainnya
badiday Choi Jam;not sure;50;30/12/2020 18:44;puas;netral;lainnya;sistem aplikasi
Farruh Tillo;great app!;50;30/12/2020 16:53;puas;puas;sistem aplikasi;sistem aplikasi
Nguyen Phuoc Loc;good;50;30/12/2020 16:45;puas;puas;lainnya;lainnya
AsLaN De leon;very helpful 😍;50;30/12/2020 16:22;puas;puas;lainnya;lainnya
Jeanette Espiritu;this app has helped a lot especially during these times. thank you!;50;30/12/2020 15:53;puas;puas;sistem aplikasi;sistem aplikasi
Michael Francisco;updated to 5 stars as mentioned in previous review (when it asks to turn on your location services when necessary);50;30/12/2020 15:37;puas;tidak puas;sistem aplikasi;sistem aplikasi
Sukma dwi putra;nice;50;30/12/2020 15:32;puas;puas;driver;driver
Rhea Villa;thank you;50;30/12/2020 15:19;puas;puas;lainnya;lainnya
Ishewindar Singh;awesome rides!;50;30/12/2020 15:18;puas;puas;lainnya;lainnya
Lucky Nurhidayat;good;50;30/12/2020 15:03;puas;puas;lainnya;lainnya
Muhammad Taufan Pratama;good;50;30/12/2020 15:01;puas;puas;lainnya;lainnya
sang tran;bad cordination.;10;30/12/2020 15:00;tidak puas;tidak puas;lainnya;lainnya
Hen Lim;make us easier.. thx..;50;30/12/2020 14:49;puas;puas;lainnya;lainnya
Janeille Pinca;boooooooo!;10;30/12/2020 14:48;tidak puas;tidak puas;lainnya;lainnya
Teddy Irmawan;great;50;30/12/2020 14:47;puas;puas;lainnya;lainnya
Ekramul Hasan;good;40;30/12/2020 14:22;puas;puas;lainnya;lainnya
Has Mira;good;50;30/12/2020 14:20;puas;puas;lainnya;lainnya
Bona Huang;i lost my account which appeared on my screen.how could be ?;50;30/12/2020 13:55;puas;tidak puas;sistem aplikasi;sistem aplikasi
dennis generoso;it's good;50;30/12/2020 13:54;puas;puas;lainnya;lainnya
yanti siti;good;50;30/12/2020 13:42;puas;puas;lainnya;lainnya
Ida Mariana;helpful. easy to use. many promo's;50;30/12/2020 13:27;puas;puas;sistem aplikasi;sistem aplikasi
Wance Piyong;nice;50;30/12/2020 13:21;puas;puas;driver;driver
Hendra Lesmana;good app;50;30/12/2020 13:14;puas;puas;sistem aplikasi;sistem aplikasi
GANIA GEGE;hol wjp price aml;50;30/12/2020 12:54;puas;netral;lainnya;lainnya
Sasha Rhea Gill;stupidest service. help center wil take forever to email back. hopeless;10;30/12/2020 12:47;tidak puas;tidak puas;lainnya;lainnya
Clarissa Sugianto;grab food has many promotions. hopefully grab express will follow with more competitive price.;50;30/12/2020 12:27;puas;netral;lainnya;sistem aplikasi
Mai Morales;bakit gnaon hindi ako nakkaroon ng points kahit ang tagal ko na gumagamit ng app ninyo?;50;30/12/2020 12:24;puas;tidak puas;sistem aplikasi;sistem aplikasi
ambyar Isa;excellent !;50;30/12/2020 12:20;puas;puas;lainnya;lainnya
Ichsan Nugroho;harus lebih selektif dan peraturan driver nya ketat agar menjadi jasa tranportasi online yg berkualitas ..;50;30/12/2020 12:19;puas;puas;driver;driver
Malvin Kembaren;good app and use friendly;40;30/12/2020 11:45;puas;puas;sistem aplikasi;sistem aplikasi
Rimata Belantara Puteri;it's very useful!;50;30/12/2020 11:44;puas;puas;lainnya;sistem aplikasi
AUSTIN AUSTIN;good service;40;30/12/2020 11:42;puas;puas;lainnya;lainnya
isha fajar;bug di grab express on going ga ada ilang;10;30/12/2020 11:10;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Hli93 Comic;love this app;50;30/12/2020 11:07;puas;puas;sistem aplikasi;sistem aplikasi
Yudianto Utomo;user friendly and helpful. many promos.;50;30/12/2020 10:59;puas;puas;lainnya;sistem aplikasi
norlina rogikin;terbaik;50;30/12/2020 10:54;puas;puas;lainnya;lainnya
siswandi tirtakusumah;amazing app;50;30/12/2020 10:51;puas;puas;sistem aplikasi;sistem aplikasi
Aurelia Viona;bagus banget tapi setiap ada diskon selalu pakai ovo;40;30/12/2020 10:45;puas;netral;lainnya;lainnya
Siti Nadhirah Asmawi;i really love this app...its so convenient;50;30/12/2020 10:35;puas;puas;sistem aplikasi;sistem aplikasi
Asrinathasyairwani Sue;excellent;50;30/12/2020 10:32;puas;puas;lainnya;lainnya
Hasan Khan;good;50;30/12/2020 10:19;puas;puas;lainnya;lainnya
Ying Yuan Sim;disappointed with the fact that all grab drivers only accept for short distance ride. waited 20 mins just to be told that all drivers are busy .;10;30/12/2020 10:05;tidak puas;tidak puas;driver;driver
Rida Bahar;now i do everything cashless but am force to buy insurans pulak for my ride. ok lah good so far;50;30/12/2020 09:59;puas;netral;lainnya;lainnya
noor addam;good;50;30/12/2020 09:56;puas;puas;lainnya;lainnya
Fatin Samsudin;it's helpful for me;40;30/12/2020 09:50;puas;puas;lainnya;lainnya
Low Low.kinmula;have a nice day;50;30/12/2020 09:09;puas;puas;driver;driver
SP Wong;the rating for grabfood drivers are not reflected truthfully at all. all drivers have 5stars rating. i wonder why. there are some drivers whom are rating with 1 star are not reflected.;10;30/12/2020 08:57;tidak puas;tidak puas;driver;driver
Istia Matriani;good job 👍👍;50;30/12/2020 08:46;puas;puas;lainnya;lainnya
Catherine;so far mempermudah sy untuk mesen makanan dan kirim barang kalau lg ada halangan. dan urgent.;50;30/12/2020 08:45;puas;netral;lainnya;driver
Kenfarron;tolong di briefing atau dikasi info ke driver2 yang belom pernah pake grab business. supaya ga ketakutan gak dibayar.;50;30/12/2020 08:40;puas;tidak puas;driver;driver
Rizal Ramadhan;di sulawesi barat cuman ada grab dah gitu aja 😁;40;30/12/2020 08:31;puas;netral;lainnya;lainnya
Coi Lorbes;very satisfied customer here😍;50;30/12/2020 08:21;puas;puas;lainnya;lainnya
selvamony 5284;nice;50;30/12/2020 07:36;puas;puas;driver;driver
LE Tan;great.;50;30/12/2020 07:25;puas;puas;lainnya;lainnya
Fahmi Aliansyah;mantap;50;30/12/2020 07:16;puas;puas;lainnya;lainnya
Abby Margallo;you can do many things with grab :);50;30/12/2020 07:03;puas;tidak puas;lainnya;sistem aplikasi
38 Alif Vivian Adyatma;very noys;50;30/12/2020 07:00;puas;puas;lainnya;lainnya
Nathan Sol;hindi nasusunod yung grab protect;30;30/12/2020 06:47;netral;netral;lainnya;lainnya
Nover Arison;great app;50;30/12/2020 06:40;puas;puas;sistem aplikasi;sistem aplikasi
Zahra Aulia;aplikasi yang tidak bisa terpisahkan dari kehidupan sehari-hari—emm alay. sering banget pake grab karna banyak banget promo yang dikasih😍;50;30/12/2020 06:31;puas;puas;sistem aplikasi;sistem aplikasi
Sammy alamood;excellent;40;30/12/2020 06:30;puas;puas;lainnya;lainnya
A Google user;good. satisfied.;50;30/12/2020 06:27;puas;puas;lainnya;lainnya
Jeri Kusuma;good... urusan makan.. kendaraan.. apapun yg ada di grab itu luar biasa..;50;30/12/2020 06:10;puas;puas;lainnya;driver
Chin Seng;awesome;50;30/12/2020 06:01;puas;puas;lainnya;lainnya
Ir Ka;nice ride. thanks;50;30/12/2020 05:50;puas;puas;driver;driver
MR. SHARK;nice;50;30/12/2020 05:47;puas;puas;driver;driver
Olivia Mulyanto;love it;50;30/12/2020 05:21;puas;puas;lainnya;lainnya
Miranda;flawless experience!;50;30/12/2020 05:03;puas;puas;lainnya;lainnya
agus hasudungan sitorus;nice application.;50;30/12/2020 05:03;puas;puas;driver;driver
M. Nafik;delivered fee always change when ordering food;10;30/12/2020 05:00;tidak puas;tidak puas;lainnya;lainnya
Rosiana Dama;good;50;30/12/2020 04:53;puas;puas;lainnya;lainnya
Samuel Lim;no where to indicate special instructions like allergens for food orders. had to use the desktop website instead.;30;30/12/2020 04:38;netral;netral;lainnya;sistem aplikasi
Harshana Kelum;its cool. so helpful;40;30/12/2020 04:38;puas;puas;lainnya;lainnya
Felixberto Delapena;grab good for transport and food delivery. excellent!;50;30/12/2020 04:36;puas;puas;lainnya;lainnya
Regina Mit;good apps;50;30/12/2020 04:30;puas;puas;sistem aplikasi;sistem aplikasi
DOLELA 88;good servicce;50;30/12/2020 04:21;puas;puas;lainnya;lainnya
Terrence Teo;good;50;30/12/2020 04:06;puas;puas;lainnya;lainnya
rey posugac;excelent;50;30/12/2020 03:41;puas;puas;lainnya;lainnya
my email;great;50;30/12/2020 03:37;puas;puas;lainnya;lainnya
Am Rider;nice app;50;30/12/2020 03:36;puas;puas;driver;driver
Mas Syaiezah;thanks for good apps;50;30/12/2020 03:06;puas;puas;sistem aplikasi;sistem aplikasi
miss_G tuason;good;50;30/12/2020 03:06;puas;puas;lainnya;lainnya
Fenella Sowmin Benggon;good;50;30/12/2020 02:49;puas;puas;lainnya;lainnya
taha luthfi;ok;50;30/12/2020 02:28;puas;puas;lainnya;lainnya
Tira Rara;amazing app. thanks malaysia.;50;30/12/2020 02:10;puas;puas;sistem aplikasi;sistem aplikasi
HamLong Chang;great. good ride;40;30/12/2020 02:04;puas;puas;lainnya;lainnya
Bhava Poudyal;great app. makes life very easy.;50;30/12/2020 01:43;puas;puas;sistem aplikasi;sistem aplikasi
Chimpunk;much much better on app function and mostly services. but...your sponsors add blocking my maps and hardly to remove. need to improve;40;30/12/2020 01:14;puas;netral;sistem aplikasi;sistem aplikasi
Jim;redeeming of rewards of hardwork has never been this scammish and aggravating ever.;10;30/12/2020 01:11;tidak puas;tidak puas;lainnya;sistem aplikasi
Mf M;ok;10;30/12/2020 01:04;tidak puas;puas;lainnya;lainnya
Taupik Kamil;good;50;30/12/2020 01:00;puas;puas;lainnya;lainnya
yulia wati;good;50;30/12/2020 00:35;puas;puas;lainnya;lainnya
Nasi Campur wen;ok;50;30/12/2020 00:04;puas;puas;lainnya;lainnya
Nurul Fadilah;why don't you accept another online banking transaction? why only maybank2u?? pls accept another online banking;40;29/12/2020 23:57;puas;netral;lainnya;sistem aplikasi
Brechie formentera;very nice;50;29/12/2020 23:01;puas;puas;driver;driver
Jihan Tiffani;good application;50;29/12/2020 22:59;puas;puas;sistem aplikasi;sistem aplikasi
Kevin Catacutan;gps is not working;10;29/12/2020 22:58;tidak puas;netral;lainnya;sistem aplikasi
alcon talib;i like it;50;29/12/2020 22:10;puas;puas;lainnya;lainnya
gofishing area3;good;50;29/12/2020 21:11;puas;puas;lainnya;lainnya
Jocelyn Tang;nil.;50;29/12/2020 19:22;puas;netral;lainnya;lainnya
conny nae;nice;50;29/12/2020 17:27;puas;puas;driver;driver
angelyn adalin;this is the app that i installed but there is no car logo for me to book a ride;10;29/12/2020 16:51;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Melvin Ang;it's frustrating! the image doesn't load in the grab food section of the app. how am i supposed to know my order.;10;29/12/2020 16:28;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Ran Bahadursawad;nice;50;29/12/2020 15:17;puas;puas;driver;driver
Sunshine Calleja;mof.xwy x......;50;29/12/2020 15:01;puas;05/08/2020 12:29;lainnya;driver
daniel rodriguese;good service;50;29/12/2020 14:57;puas;puas;lainnya;lainnya
Giovanni Andrea;apps yang berguna saat lapar melanda;50;29/12/2020 14:39;puas;puas;sistem aplikasi;sistem aplikasi
Ferlan Fungai;took half day finding driver for express service in tokopedia;20;29/12/2020 14:10;tidak puas;tidak puas;driver;driver
CheeLam Chow;nice;50;29/12/2020 14:01;puas;puas;driver;driver
Asep Nugraha Sukma;nice;50;29/12/2020 13:56;puas;puas;driver;driver
Agus Sugianto;great and helpful apps;50;29/12/2020 13:50;puas;puas;sistem aplikasi;sistem aplikasi
shermin chua;is there something wrong with your app on android phones? i couldn't tap to schedule my delivery. the screen just freezes and the app closed itself....help pls.;30;29/12/2020 13:39;netral;netral;sistem aplikasi;sistem aplikasi
Gilbert Siagian;banyak driver;50;29/12/2020 13:36;puas;tidak puas;driver;driver
Irawan Yunanto;so far so good.;50;29/12/2020 13:28;puas;puas;lainnya;lainnya
lie lie_99;sering dapet kode promo..tapi kalo dipake selalu nggga bisa alasannya habis... hello masa jam 6 pagi uda abis ?????? ngasih cuma buat 5 cust seluruh indonesia????;20;29/12/2020 13:24;tidak puas;tidak puas;lainnya;driver
Zaimsky 888;good service and great app;50;29/12/2020 13:20;puas;puas;sistem aplikasi;sistem aplikasi
Miranthi Rika Yuraidha;excellent..;50;29/12/2020 13:15;puas;puas;lainnya;lainnya
Suzanne Ngiam;being my focus to use it;50;29/12/2020 13:14;puas;tidak puas;lainnya;sistem aplikasi
Badria rhya;susah verifikasi wajah;10;29/12/2020 13:08;tidak puas;tidak puas;lainnya;driver
Mad Lee Rul (LeeRoy);wonder why using the credit card cannot earn point;30;29/12/2020 12:53;netral;netral;lainnya;sistem aplikasi
Raymond Poeng;aplikasi yang sangat membantu dalam hal transportasi..;50;29/12/2020 12:38;puas;puas;sistem aplikasi;sistem aplikasi
Dian Yai;good app;50;29/12/2020 12:37;puas;puas;sistem aplikasi;sistem aplikasi
Raja Azlan Shah Raja Azmi;convenient;50;29/12/2020 12:24;puas;puas;lainnya;lainnya
yusuf saputro;helpful;50;29/12/2020 12:24;puas;puas;lainnya;lainnya
omg shea;ok.;40;29/12/2020 12:23;puas;puas;lainnya;lainnya
M Akmal M Yassin;mantap;50;29/12/2020 12:23;puas;puas;lainnya;lainnya
Guri Singh;now what happened;50;29/12/2020 12:20;puas;netral;sistem aplikasi;sistem aplikasi
Kamalin Annuar;why can't i login to my account? there's no verification code send to my number even though i clicked resend code many time.;10;29/12/2020 12:16;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
sheila grace barrios;comfy and clean;40;29/12/2020 12:09;puas;puas;lainnya;lainnya
Wahyudin Fitriaman;bad;10;29/12/2020 12:00;tidak puas;tidak puas;lainnya;lainnya
Mitch Qoolawae;i cannot save or add new recipient to transfer balance to gcash ewallet.;10;29/12/2020 11:59;tidak puas;netral;lainnya;sistem aplikasi
Muiez M;this app is complicated and not user friendly at all!!! can you please add another option where your cust can just pay with cash?! u think everyone has on9 banking ka idiot??? stupid app!!!;10;29/12/2020 11:42;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Mathu Malar;great service;50;29/12/2020 11:02;puas;puas;lainnya;lainnya
Pisit Ketkopol;excellence & easy;50;29/12/2020 10:46;puas;puas;sistem aplikasi;sistem aplikasi
Ihsan Nugraha;helpful;50;29/12/2020 10:43;puas;puas;lainnya;lainnya
Rahmat Nasrah;good;50;29/12/2020 10:42;puas;puas;lainnya;lainnya
sonneeaa erka;great app for buying food with credit card 🥰;50;29/12/2020 10:40;puas;puas;sistem aplikasi;sistem aplikasi
syefrin gani;mantap;50;29/12/2020 10:36;puas;puas;lainnya;lainnya
jemeli rea capicenio;excellent!;50;29/12/2020 10:26;puas;puas;lainnya;lainnya
Ruby Dela Pena;ayos naman... kaso di updated yung locator nyo... mali mali;30;29/12/2020 10:10;netral;netral;sistem aplikasi;sistem aplikasi
Christine Tan;grabcar services are prompt. drivers are polite & professional. thank you.;50;29/12/2020 09:57;puas;puas;driver;driver
Juli Tanzil;helpful apps;50;29/12/2020 09:49;puas;puas;sistem aplikasi;sistem aplikasi
Kim anne Lusabia;i cannot register to this app;10;29/12/2020 09:45;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
AH Tan;grabpay can not use & it show some payment methods are temporary unavailable.;10;29/12/2020 09:43;tidak puas;tidak puas;lainnya;sistem aplikasi
Nazry;good;50;29/12/2020 09:37;puas;puas;lainnya;lainnya
Badrul Hisham;best;50;29/12/2020 09:30;puas;puas;lainnya;lainnya
Dhea Clarissa;good applications. the customer service are fast response to handle our problem.;50;29/12/2020 09:26;puas;puas;sistem aplikasi;sistem aplikasi
Anne Joese TiMix;mantap banyak promo grab foodnya;40;29/12/2020 09:24;puas;puas;lainnya;lainnya
Regina Fortunata Holy;great app indeed!!;50;29/12/2020 09:22;puas;puas;sistem aplikasi;sistem aplikasi
Alvin De Belen;i cant transfer money to gcash;20;29/12/2020 09:18;tidak puas;tidak puas;lainnya;sistem aplikasi
Siti hamizilla Zilla;my grab apps is not working...;10;29/12/2020 09:12;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
MUHAMMAD SHUAIB;yeah;50;29/12/2020 09:11;puas;puas;lainnya;lainnya
Su Thein;very good;50;29/12/2020 09:07;puas;puas;lainnya;lainnya
Harishalinee Mahendran;good;40;29/12/2020 08:58;puas;puas;lainnya;lainnya
Ryan Ferdinand;gw gk salah apa apa di ban bgst;10;29/12/2020 08:36;tidak puas;tidak puas;lainnya;lainnya
iwan setiawan;aplikasi andalan jikalau mager;50;29/12/2020 08:30;puas;puas;sistem aplikasi;sistem aplikasi
Pezalsky Pezal;good;50;29/12/2020 08:12;puas;puas;lainnya;lainnya
Elfiyan Elfiyan;good conversation;50;29/12/2020 08:11;puas;puas;lainnya;lainnya
Ella Quin;sobrang bobo ng pabili service nyo. tanginang app to sobrang bobo talaga;10;29/12/2020 08:04;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
dave vid;very nice;50;29/12/2020 07:59;puas;puas;driver;driver
SIMPSON KNOWLEDGE;good;50;29/12/2020 07:51;puas;puas;lainnya;lainnya
Mohana Vijayan;excellent;50;29/12/2020 07:45;puas;puas;lainnya;lainnya
1st Price;very useful;50;29/12/2020 07:36;puas;puas;lainnya;sistem aplikasi
Rose Ruzaitun;very good apps;50;29/12/2020 07:31;puas;puas;sistem aplikasi;sistem aplikasi
Dan javier;awesome;50;29/12/2020 07:28;puas;puas;lainnya;lainnya
Don Soleh;nice;50;29/12/2020 07:26;puas;puas;driver;driver
Gun;good;50;29/12/2020 07:24;puas;puas;lainnya;lainnya
DANIAR MAULANA;good;40;29/12/2020 07:11;puas;puas;lainnya;lainnya
Zil Zainudin;so far.. everything is well managed by grab n luv the services. thank u.;50;29/12/2020 07:04;puas;puas;lainnya;lainnya
Sayed Salim;ok;30;29/12/2020 07:02;netral;puas;lainnya;lainnya
Clarize;nice;50;29/12/2020 06:53;puas;puas;driver;driver
